Wine,Grape sort,Year,Region,Country,Acetoine,Acetaldehyde,Methanol,1-propanol,Ethyl lactate,Isobutanol,1-butanol,2-butanol,2-methyl-1-butanol,3-methyl-1-butanol,2-methyl-1-propanol,1-pentanol,1-hexanol,"2,3-butanediol",2-phenylethanol,3-(Methylthio)-1-propanol,Hexyl acetate,Ethyl octanoate,Diethyl succinate,2-phenylethyl acetate,Diethyl malate,Ethyl decanoate,Isoamyl alcohol,Isoamyl acetate,1-heptanol,Ethyl acetate,Isopropyl acetate,Isobutyl acetate,Ethyl butyrate,Ethyl hexanoate,Ethyl isovalerate,Pentyl acetate,Phenyl acetate,Ethyl caprylate,alpha-TERPINEOL,Linalool ,Nerol,Citronellol,Geraniol,1-octanol,Hexanoic acid,Octanoic acid,Decanoic acid,Propanoic acid,butyric acid,2-methylpropanoic acid,2-methylbutyric acid,3-methylbutyric acid,Dodecanoic acid,DOI,Descriptors,Herbs and spices,Tobacco/Smoke,Wood,Berries,Citrus,Fruits,Nuts,Coffee,Chocolate/Cacao,Flowers
Morande Carignan Edicion Limitada,Carignan,2015,del Maule, Chile,0,0,0,11.51,0,28.88,0,0,57.54,147.64,0,0,0.00219,0,45.24,0,0,0.06379,0,0.06637,0,0.04308,0,0.19309,0,0,0,0,0,0.14473,0,0,0,0,0.00228,0.0064,0,0.01213,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,"red berries, chestnuts, spices and nuts",1,0,0,1,0,0,1,0,0,0
Cien 100,Carignan,2015,del Maule, Chile,0,0,0,12.8,0,37.06,0,0,63.09,155.89,0,0,0.00288,0,118.05,0,0,0.37109,0,0.11589,0,0.15054,0,0.51298,0,0,0,0,0,0.36576,0,0,0,0,0.00326,0.00989,0,0.00963,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,"red and dark berries, tones of dark plum jam, dark plum, balsamic notes, overripe and liqueur cherries, floral notes, soil, creamy notes, spices (pepper, vanilla, licorice)",1,0,0,1,0,0,0,0,0,1
No Es Pituko,Carignan,2015,del Maule, Chile,0,0,0,10.65,0,27.73,0,0,62.67,166.97,0,0,0.00245,0,60.88,0,0,0.08918,0,0.07343,0,0.05048,0,0.33554,0,0,0,0,0,0.16637,0,0,0,0,0.00309,0.00971,0,0.0109,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,"rich plum and ripe black fruit, cinnamon and star anise",1,0,0,0,0,1,0,0,0,0
Vina Maipo,Cabernet Sauvignon,2014,Maipo, Chile,0,0,0,0,0,13.414,1.631,0,0,156.397,0,0,1.387,0.67,38.715,0,0,0.0517,0,0,0,0.00297,0,0.208,0,19.905,0.409,0.00905,0.0832,1.258,0.0108,0,0,0,0.00304,0.00295,0,0.0031,0,0.0014,0.802,0.0132,0.0272,0,0,0,0,0,0,10.1002/jsfa.8565,"blackcurrant, blackberry and chocolate, vanilla",0,0,0,1,0,0,0,0,1,0
Valley Andino,Cabernet Sauvignon,2014,Maipo, Chile,0,0,0,0,0,13.449,1.657,0,0,157.473,0,0,1.38,0.667,38.815,0,0,0.0489,0,0,0,0.00284,0,0.272,0,19.443,0.123,0.0107,0.0768,1.146,0.00778,0,0,0,0.0031,0.00304,0,0.00348,0,0.00154,0.763,0.012,0.0247,0,0,0,0,0,0,10.1002/jsfa.8565,"ripe red and black fruits, blackcurrant leaves, licorice, mild herbs and confectionery spices",1,0,0,1,0,1,0,0,0,0
Cousino-Macul Double U,Cabernet Sauvignon,2014,Maipo, Chile,0,0,0,0,0,11.871,1.728,0,0,150.546,0,0,1.357,0.677,37.384,0,0,0.0476,0,0,0,0.00203,0,0.296,0,19.266,0.113,0.0103,0.0774,1.047,0.0086,0,0,0,0.00283,0.00244,0,0.003,0,0.00122,0.729,0.0028,0.0229,0,0,0,0,0,0,10.1002/jsfa.8565,"prunes, blackberries, tobacco leaves, chocolate, vanilla and toffee, saffiano leather, menthol and herbs",1,0,0,1,0,0,0,0,1,0
"Vina Maipo, ""1948""",Cabernet Sauvignon,2015,Maipo, Chile,0,0,0,0,0,16.767,1.078,0,0,178.171,0,0,0.0515,0.378,31.911,0,0,0.0928,0,0,0,0.00854,0,2.149,0,22.696,0,0.0466,0.197,1.287,0,0,0,0,0.00133,0.0024,0,0.00601,0,0.0029,1.006,0.221,0.0287,0,0,0,0,0,0,10.1002/jsfa.8565,"fruit and berry shades, spicy spices",1,0,0,1,0,1,0,0,0,0
Espiritu de Chile,Cabernet Sauvignon,2015,Maipo, Chile,0,0,0,0,0,17.289,0.85,0,0,168.561,0,0,0.0391,0.281,29.517,0,0,0.105,0,0,0,0.0103,0,2.341,0,22.013,0,0.0583,0.19,1.314,0,0,0,0,0.00132,0.00253,0,0.00726,0,0.00353,1.1167,0.386,0.0364,0,0,0,0,0,0,10.1002/jsfa.8565,"black currants and ripe chokeberries, plums and pepper",1,0,0,1,0,1,0,0,0,0
Vieilles Vignes,Cabernet Sauvignon,2015,Maipo, Chile,0,0,0,0,0,18.05,1.005,0,0,179.583,0,0,0.0469,0.31,31.311,0,0,0.0832,0,0,0,0.00684,0,1.942,0,21.515,0,0.0492,0.187,1.114,0,0,0,0,0.0013,0.00218,0,0.0065,0,0.00303,0.959,0.199,0.0289,0,0,0,0,0,0,10.1002/jsfa.8565,"black berries, black currants and blackberries",1,0,0,1,0,0,0,0,0,0
Tarapaca,Cabernet Sauvignon,2015,Maipo, Chile,0,0,0,0,0,16.767,1.078,0,0,178.171,0,0,0.0515,0.378,31.911,0,0,0.0928,0,0,0,0.00854,0,2.149,0,22.696,0,0.0466,0.197,1.287,0,0,0,0,0.00133,0.0024,0,0.00601,0,0.0029,1.006,0.221,0.0287,0,0,0,0,0,0,10.1002/jsfa.8565,"fruits and berries, oak, vanilla, leather and tobacco",0,1,1,1,0,1,0,0,0,0
Reserva,Cabernet Sauvignon,2015,Maipo, Chile,0,0,0,0,0,16.559,0.965,0,0,180.472,0,0,0.0365,0.356,28.25,0,0,0.0857,0,0,0,0.0125,0,1.111,0,22.511,0,0.0237,0.133,1.302,0,0,0,0,0.00109,0.00141,0,0.00666,0,0.00225,0.992,0.174,0.0365,0,0,0,0,0,0,10.1002/jsfa.8565,"blackberries and ripe currants, black pepper and mint, woody notes",1,0,1,1,0,0,0,0,0,0
Santa Digna Cabernet Sauvignon,Cabernet Sauvignon,2015,Maipo, Chile,0,0,0,0,0,17.289,0.85,0,0,168.561,0,0,0.0391,0.281,29.517,0,0,0.105,0,0,0,0.0103,0,2.341,0,22.013,0,0.0583,0.19,1.314,0,0,0,0,0.00132,0.00253,0,0.00726,0,0.00353,1.167,0.386,0.0364,0,0,0,0,0,0,10.1002/jsfa.8565,"blackcurrant, blackberry, cherry, undergrowth, vanilla and spices",1,0,1,1,0,0,0,0,0,0
TerraMater Vineyard Cabernet Sauvignon,Cabernet Sauvignon,2015,Maipo, Chile,0,0,0,0,0,17.136,1.233,0,0,175.073,0,0,0.0387,0.626,30.833,0,0,0.0783,0,0,0,0.013,0,1.014,0,22.946,0,0.026,0.131,1.306,0,0,0,0,0.00111,0.00146,0,0.00559,0,0.00176,1.004,0.118,0.032,0,0,0,0,0,0,10.1002/jsfa.8565,"ripe red and black fruits, spicy and balsamic nuances",1,0,0,0,0,1,0,0,0,0
Escudo Rojo,Cabernet Sauvignon,2015,Maipo, Chile,0,0,0,0,0,18.05,1.005,0,0,179.583,0,0,0.0469,0.31,31.311,0,0,0.0832,0,0,0,0.00684,0,1.942,0,21.515,0,0.0492,0.187,1.114,0,0,0,0,0.0013,0.00218,0,0.0065,0,0.00303,0.959,0.199,0.0289,0,0,0,0,0,0,10.1002/jsfa.8565,"black currants, cherries, strawberries, almonds, coffee and spicy spices",1,0,0,1,0,0,1,1,0,0
Tutunjian,Cabernet Sauvignon,2015,Maipo, Chile,0,0,0,0,0,16.512,1.277,0,0,186.354,0,0,0.0414,0.606,31.259,0,0,0.0848,0,0,0,0,0,1.185,0,23.515,0,0.0228,0.132,1.219,0,0,0,0,0.00121,0.00138,0,0.00479,0,0.00162,0.864,0.0855,0.0392,0,0,0,0,0,0,10.1002/jsfa.8565,"blackberries and blueberries, tobacco, spices, black pepper and chocolate",1,1,0,1,0,0,0,0,1,0
San Vicente,Tempranillo,2013, La Rioja,Spain,0,0,0,0,10.359,0,0.542,0,0,0,0.622,0,1.611,0,40.983,0,0.0046,0,1.877,0.03,0.511,0.024,143.071,0,0,0,0,0,0,0,0,0,0,0,0.00053,0.0027,0,0.0077,0.0078,0.018,0,0,0,0,0.997,0,0,0,0,10.1021/acs.jafc.5b05187,"forest berries, red fruits, flowers, nuances of mocha and chocolate",0,0,0,1,0,1,0,0,1,1
Pingus,Tempranillo,2013, La Rioja,Spain,0,0,0,0,2.263,0,0.349,0,0,0,0.67,0,1.34,0,41.161,0,0.0049,0,0.83,0.038,0.716,0.011,101.911,0,0,0,0,0,0,0,0,0,0,0,0.00017,0.0022,0,0.004,0.0052,0.013,0,0,0,0,1.316,0,0,0,0,10.1021/acs.jafc.5b05187,"dark fruits, spices and minerals",1,0,0,0,0,1,0,0,0,0
Finca El Bosque,Tempranillo,2013, La Rioja,Spain,0,0,0,0,5.787,0,0.258,0,0,0,0.392,0,1.591,0,50.821,0,0.006,0,1.158,0.037,0.634,0.016,137.522,0,0,0,0,0,0,0,0,0,0,0,0.00079,0.0022,0,0.0077,0.0071,0.015,0,0,0,0,1.427,0,0,0,0,10.1021/acs.jafc.5b05187,"plum, blackberry, dark chocolate and licorice",1,0,0,1,0,1,0,0,1,0
Les Pujoles,Tempranillo,2013, La Rioja,Spain,0,0,0,0,3.485,0,0.279,0,0,0,0.409,0,1.854,0,39.572,0,0.0021,0,1.172,0.03,0.648,0.017,105.752,0,0,0,0,0,0,0,0,0,0,0,0.00039,0.0023,0,0.0052,0.01,0.013,0,0,0,0,0.833,0,0,0,0,10.1021/acs.jafc.5b05187,"ripe fruits, notes of currants and cherries, pepper, cinnamon, dry herbs, elegant mineral",1,0,0,1,0,1,0,0,0,0
Brillo del Dia,Tempranillo,2013, La Rioja,Spain,0,0,0,0,3.14,0,0.335,0,0,0,0.456,0,1.513,0,41.072,0,0.0025,0,1.143,0.036,0.454,0.021,159.664,0,0,0,0,0,0,0,0,0,0,0,0.00052,0.0023,0,0.0069,0.0089,0.016,0,0,0,0,0.92,0,0,0,0,10.1021/acs.jafc.5b05187,"red fruits, blackberries and plums",0,0,0,1,0,1,0,0,0,0
Lidia,Chardonnay,2017, Piedmont,Italy,0,0,0,0,0,0,0,0,0,19.718,0.372,0,0.314,0.414,6.685,0,5.45,42.583,0,2.585,0,34.198,6.905,0,0,7.434,0,0,0,5.755,0,0,0,0,0,0.002,0,0.002,0,0.007,0,0.898,0.389,0,0,0,0,0,0,10.1016/j.foodchem.2018.03.018,"fresh apple just picked from the branch, notes of honey and stewed pear",0,0,0,0,0,1,0,0,0,0
Terre di Franciacorta,Chardonnay,2017, Piedmont,Italy,0,0,0,0,0,0,0,0,0,1.653,0.271,0,0.386,0.284,8.131,0,0.572,18.266,0,1.35,0,15.223,4.284,0,0,3.909,0,0,0,3.209,0,0,0,0,0,0.003,0,0.009,0.003,0.008,0,0.329,0.275,0,0,0,0,0,0,10.1016/j.foodchem.2018.03.018,"lemon, peach and apple, minerals and toast",0,0,0,0,1,1,0,0,0,0
Moscato d'Asti,Muscat,2009, Piedmont,Italy,0,0,0,0,0,0,0,0,0,19.119,0.341,0,0.072,0.619,7.549,0,1.493,39.625,0,3.14,0,27.364,5.163,0,0,8.488,0,0,0,5.711,0,0,0,0,0.031,0.647,0,0.004,0.004,0.013,0,1.108,0.578,0,0,0,0,0,0,10.1016/j.foodchem.2018.03.018,"nutmeg, notes of acacia honey and hawthorn, fresh and pleasant",0,0,0,0,0,0,1,0,0,1
Villa Lanata,Muscat,2009, Piedmont,Italy,0,0,0,0,0,0,0,0,0,1.499,0.269,0,0.101,0.338,8.196,0,0.113,12.68,0,1.209,0,11.097,4.064,0,0,3.65,0,0,0,2.456,0,0,0,0,0.025,0.514,0,0.011,0.013,0.012,0,0.319,0.07,0,0,0,0,0,0,10.1016/j.foodchem.2018.03.018,orange flowers and sage,0,0,0,0,1,0,0,0,0,1
Alois Lageder,Riesling,2015, Piedmont,Italy,0,0,0,0,0,0,0,0,0,5.844,0.153,0,0.204,0.324,4.633,0,1.83,12.036,0,1.404,0,14.863,4.462,0,0,3.721,0,0,0,3.079,0,0,0,0,0.013,0.101,0,0.002,0.001,0.007,0,0.787,0.616,0,0,0,0,0,0,10.1016/j.foodchem.2018.03.018,"fir flowers and herbs, mineral tones, green apple, mango and papaya",1,0,0,0,0,1,0,0,0,1
Saracco,Riesling,2015, Piedmont,Italy,0,0,0,0,0,0,0,0,0,1.097,0.282,0,0.287,0.24,7.369,0,0.227,15.044,0,0.772,0,10.398,4.196,0,0,3.688,0,0,0,2.373,0,0,0,0,0.006,0.08,0,0.011,0.004,0.008,0,0.313,0.076,0,0,0,0,0,0,10.1016/j.foodchem.2018.03.018,"white flowers and herbs, minerals, green apple, mango and papaya",1,0,0,0,0,1,0,0,0,1
Pio Cesare,Sauvignon blanc,2017, Piedmont,Italy,0,0,0,0,0,0,0,0,0,5.857,0.16,0,0.228,0.485,5.176,0,1.902,23.904,0,1.95,0,12.358,4.514,0,0,4.53,0,0,0,2.77,0,0,0,0,0,0.004,0,0.002,0.001,0.007,0,0.9,0.587,0,0,0,0,0,0,10.1016/j.foodchem.2018.03.018,"multifaceted, fresh, celery, freshly cut grass and green apple",1,0,0,0,0,1,0,0,0,0
Masut da Rive,Sauvignon blanc,2017, Piedmont,Italy,0,0,0,0,0,0,0,0,0,2.327,0.264,0,0.352,0.356,6.036,0,0.648,0,0,1.124,0,22.455,4.71,0,0,4.649,0,0,0,4.168,0,0,0,0,0,0.007,0,0.009,0.003,0.006,0,0.237,0.394,0,0,0,0,0,0,10.1016/j.foodchem.2018.03.018,"tomato, sage and elderflower, citrus",1,0,0,0,1,0,0,0,0,1
Echo Falls,Merlot,2002,Nampa, USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.3,0,0,0.279,0,0.0195,0,0.0408,0,0,0,0,0,0,0,0.493,0,0,0,0,0,0.00512,0,0.00962,0.00199,0,0,0,0,0,0,0,0,0,0,10.1021/jf9009558,"ripe dark fruits and berries, toast and vanilla",1,0,0,1,0,1,0,0,0,0
Woodhaven,Merlot,2002,Nampa, USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.4,0,0,0.176,0,0.0246,0,0.0325,0,0,0,0,0,0,0,0.391,0,0,0,0,0,0.0061,0,0.00988,0.00213,0,0,0,0,0,0,0,0,0,0,10.1021/jf9009558,"notes of chocolate and prunes, cherries, currants and blackberries, smoky oak",0,0,1,1,0,0,0,0,1,0
Gnarly Head,Merlot,2003,Nampa, USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.6,0,0,0.205,0,0.0477,0,0.0319,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0.00639,0,0.01458,0.00263,0,0,0,0,0,0,0,0,0,0,10.1021/jf9009558,"red plum, spicy spices and herbs, tobacco and licorice",1,1,0,0,0,1,0,0,0,0
Rutherford Ranch,Merlot,2003,Nampa, USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.5,0,0,0.248,0,0.0367,0,0.0385,0,0,0,0,0,0,0,0.465,0,0,0,0,0,0.00603,0,0.01,0.00196,0,0,0,0,0,0,0,0,0,0,10.1021/jf9009558,"red plum and cherry, hints of vanilla, violet",1,0,0,1,0,1,0,0,0,1
Le Desir,Merlot,2004,Nampa, USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.1,0,0,0.285,0,0.0322,0,0.058,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0.00817,0,0.02137,0.00412,0,0,0,0,0,0,0,0,0,0,10.1021/jf9009558,"fruity notes of cherry, currant and raspberry with hints of graphite, licorice and tobacco",1,1,0,1,0,0,0,0,0,0
Oscar Semmler,syrah,2006,McLaren Vale, Australia,0,0,0,0,0,0,1.442,0,63.412,279.686,36.359,0,0,0,59.869,0,0.022,0.604,0,0.05,0,0.131,0,0,0,56.79,0,0,0,0.68,0,0,0,0,0.0046,0.0053,0.0004,0,0.0086,0,2.889,2.531,0.505,0,0,1.442,0,0,0,10.1021/jf801273k,"plum, black cherry, chocolate, anise, resin",0,0,0,1,0,1,0,0,1,0
Yarra Valley,syrah,2006,McLaren Vale, Australia,0,0,0,0,0,0,1.392,0,61.702,295.366,39.57,0,0,0,53.745,0,0.042,0.756,0,0.085,0,0.198,0,0,0,64.71,0,0,0,0.893,0,0,0,0,0.0062,0.0048,0.0003,0,0.0068,0,4.205,3.389,0.707,0,0,1.181,0,0,0,10.1021/jf801273k,"dark fruits, Earl Grey, capers, cardamom and spices",1,0,0,0,0,1,0,0,0,0
Yarra Yering Underhill,syrah,2006,McLaren Vale, Australia,0,0,0,0,0,0,1.347,0,54.169,274.322,46.005,0,0,0,54.151,0,0.098,0.804,0,0.23,0,0.303,0,0,0,85.93,0,0,0,0.952,0,0,0,0,0.0029,0.0051,0.0002,0,0.0063,0,4.177,3.325,0.922,0,0,1.05,0,0,0,10.1021/jf801273k,"vanilla and nettle, berry tones, white chocolate",1,0,0,1,0,0,0,0,1,0
Diligo,Cabernet Sauvignon,2017,Grinzane Cavour,Italy,0,0,0,0,0,0,0,0,0,0,0.235,0,0.305,0.191,11.95,0,0.457,16.015,0.014,0.631,0,8.053,8.152,0,0,3.256,0,0,0,2.798,0,0,0,0,0.001,0.007,0,0.012,0.009,0.013,0.07,0.194,0.083,0,0,0,0,0,0,10.1016/j.foodres.2018.04.027,"rich, multifaceted, ripe cherries, dark fruits and forest flowers, spicy, chocolate",1,0,0,1,0,1,0,0,1,1
Le Monde Cabernet Sauvignon,Cabernet Sauvignon,2017,Grinzane Cavour,Italy,0,0,0,0,0,0,0,0,0,0,0.429,0,0.31,0.162,11.188,0,0.127,10.643,0.008,0.462,0,5.064,8.596,0,0,2.855,0,0,0,2.032,0,0,0,0,0,0.009,0,0.019,0.013,0.008,0.045,0.098,0.042,0,0,0,0,0,0,10.1016/j.foodres.2018.04.027,"cherries, blueberries, blackberries, spices and black pepper",1,0,0,1,0,0,0,0,0,0
Missoni,Cabernet Sauvignon,2017,Grinzane Cavour,Italy,0,0,0,0,0,0,0,0,0,0,0.747,0,0.289,0.269,14.442,0,0.039,2.272,0.004,0.326,0,1.028,5.895,0,0,3.299,0,0,0,0.484,0,0,0,0,0,0.019,0,0.016,0.016,0.002,0.019,0.027,0.013,0,0,0,0,0,0,10.1016/j.foodres.2018.04.027,"currants, cherries, vanilla, cedar and green herbs",1,0,1,1,0,0,0,0,0,0
La Roncaia,Merlot,2017,Grinzane Cavour,Italy,0,0,0,0,0,0,0,0,0,0,0.238,0,0.286,0.23,11.08,0,0.96,27.051,0.015,0.689,0,15.615,8.206,0,0,5.52,0,0,0,4.658,0,0,0,0,0.001,0.008,0,0.008,0.013,0.017,0.101,0.285,0.142,0,0,0,0,0,0,10.1016/j.foodres.2018.04.027,"herbaceous, rich, red berries",1,0,0,1,0,0,0,0,0,0
Valentino,Merlot,2017,Grinzane Cavour,Italy,0,0,0,0,0,0,0,0,0,0,0.349,0,0.335,0.186,11.933,0,0.263,14.598,0.011,0.618,0,7.114,7.804,0,0,3.5,0,0,0,2.939,0,0,0,0,0.001,0.011,0,0.014,0.013,0.013,0.064,0.159,0.08,0,0,0,0,0,0,10.1016/j.foodres.2018.04.027,"ripe cherries, blackberries and spicy spices",1,0,0,1,0,0,0,0,0,0
Tenuta Mordini,Merlot,2017,Grinzane Cavour,Italy,0,0,0,0,0,0,0,0,0,0,0.814,0,0.283,0.454,13.679,0,0.066,3.294,0.012,0.313,0,1.543,5.017,0,0,3.571,0,0,0,0.757,0,0,0,0,0,0.015,0,0.011,0.012,0.002,0.022,0.031,0.015,0,0,0,0,0,0,10.1016/j.foodres.2018.04.027,"rose hips, cherry syrup, red plum, meadow herbs, warm earth, leather, mineral and spicy",1,0,0,1,0,0,0,0,0,0
Sanct Valentin Pinot noir,Pinot noir,2017,Grinzane Cavour,Italy,0,0,0,0,0,0,0,0,0,0,0.441,0,0.321,0.285,10.106,0,0.123,18.634,0.015,0.217,0,7.99,11.286,0,0,4.013,0,0,0,2.407,0,0,0,0,0.01,0.01,0,0.024,0.013,0.007,0.071,0.224,0.097,0,0,0,0,0,0,10.1016/j.foodres.2018.04.027,"Rich, generous, berry jam, ripe cherries, raspberries, strawberries, earth, spice and smoke",1,1,0,1,0,0,0,0,0,0
Pinot noir Riserva,Pinot noir,2017,Grinzane Cavour,Italy,0,0,0,0,0,0,0,0,0,0,0.535,0,0.339,0.318,11.511,0,0.076,14.836,0.01,0.19,0,6.452,9.864,0,0,3.526,0,0,0,1.78,0,0,0,0,0.009,0.012,0,0.029,0.015,0.007,0.058,0.188,0.086,0,0,0,0,0,0,10.1016/j.foodres.2018.04.027,"ripe berries, vanilla",1,0,0,1,0,0,0,0,0,0
Bressan Pinot Nero,Pinot noir,2017,,Italy,0,0,0,0,0,0,0,0,0,0,0.957,0,0.29,0.35,9.477,0,0.034,6.008,0.005,0.148,0,2.641,7.294,0,0,3.273,0,0,0,0.72,0,0,0,0,0.006,0.017,0,0.036,0.016,0.004,0.032,0.076,0.005,0,0,0,0,0,0,10.1016/j.foodres.2018.04.027,"burnt wood, truffle, raspberry and wild blackberry, undergrowth and musk",1,0,1,1,0,0,0,0,0,0
Feudo Del Golfo,syrah,2017,Grinzane Cavour,Italy,0,0,0,0,0,0,0,0,0,0,0.221,0,0.222,0.269,9.039,0,1.736,29.032,0.02,2.179,0,18.238,6.216,0,0,5.255,0,0,0,4.118,0,0,0,0,0,0.015,0,0.009,0.012,0.023,0.124,0.541,0.273,0,0,0,0,0,0,10.1016/j.foodres.2018.04.027,"sour notes, blueberry jam and blackberries, coffee and vanilla",1,0,0,1,0,0,0,1,0,0
Les Cretes Syrah,syrah,2017,Grinzane Cavour,Italy,0,0,0,0,0,0,0,0,0,0,0.405,0,0.334,0.301,10.174,0,0.555,18.969,0.015,1.416,0,10.141,7.542,0,0,4.157,0,0,0,3.495,0,0,0,0,0,0.025,0,0.021,0.019,0.023,0.081,0.249,0.124,0,0,0,0,0,0,10.1016/j.foodres.2018.04.027,"spicy, with hints of toast, hints of wild berries and hints of pepper",1,0,0,1,0,0,0,0,0,0
Maroccoli Syrah,syrah,2017,Grinzane Cavour,Italy,0,0,0,0,0,0,0,0,0,0,0.935,0,0.302,0.22,9.999,0,0.179,6.273,0.008,0.747,0,3.115,6.187,0,0,3.994,0,0,0,1.317,0,0,0,0,0,0.042,0,0.024,0.024,0.007,0.04,0.092,0.037,0,0,0,0,0,0,10.1016/j.foodres.2018.04.027,"wilted red rose, leather, black pepper, mint, blackberry and licorice root, camphor-balsamic, cherry",1,0,0,1,0,0,0,0,0,1
Aguaribay,Malbec,2017,Hawke’s Bay, New Zealand,0,0,0,0,202,50.8,0,0,0,0,0,0,2.35,0,0,0,0.00244,0.323,0,0.0222,0,0,216,0.139,0.049,79.5,0,0,0,0.362,0.0948,0,0,0,0,0.00834,0.00281,0.0105,0.00287,0.0232,1.7,1.13,0,0,0,0,0,0,0,10.1016/j.foodchem.2020.128474,"elegant, expressive, elegant, juicy cherry, raspberry, forest flowers and vanilla",1,0,0,1,0,0,0,0,0,1
 Giunta,Malbec,2017,Hawke’s Bay, New Zealand,0,0,0,0,198,51.3,0,0,0,0,0,0,2.14,0,0,0,0.00193,0.332,0,0.0186,0,0,205,0.125,0.0457,70,0,0,0,0.337,0.0907,0,0,0,0,0.00639,0.00325,0.00831,0.00259,0.023,1.57,1.18,0,0,0,0,0,0,0,10.1016/j.foodchem.2020.128474,"sweet plum, violet, thyme and subtle spice aromas",1,0,0,0,0,1,0,0,0,1
Decibel,Malbec,2018,Hawke’s Bay, New Zealand,0,0,0,0,100,58,0,0,0,0,0,0,2.38,0,0,0,0.00295,0.116,0,0.0268,0,0,218,0.205,0.0435,58.8,0,0,0,0.194,0.0303,0,0,0,0,0.0126,0.00823,0.0222,0.0118,0.0298,1.26,0.756,0,0,0,0,0,0,0,10.1016/j.foodchem.2020.128474,"bright, floral, strawberries, red fruits, apple chips and spices",1,0,0,1,0,1,0,0,0,1
Villa Maria Private Bin,Malbec,2018,Hawke’s Bay, New Zealand,0,0,0,0,102,57.6,0,0,0,0,0,0,2.33,0,0,0,0.00262,0.128,0,0.0262,0,0,218,0.191,0.0445,54.9,0,0,0,0.188,0.028,0,0,0,0,0.0125,0.00809,0.0205,0.0115,0.0318,1.25,0.766,0,0,0,0,0,0,0,10.1016/j.foodchem.2020.128474,"floral, strawberries, red fruits, apple chips and spices",1,0,0,1,0,1,0,0,0,0
Coopers Creek,Malbec,2018,Hawke’s Bay, New Zealand,0,0,0,0,101,57.2,0,0,0,0,0,0,2.51,0,0,0,0.00298,0.128,0,0.0262,0,0,212,0.194,0.0452,58.1,0,0,0,0.206,0.0304,0,0,0,0,0.0129,0.00755,0.0213,0.0119,0.031,1.31,0.776,0,0,0,0,0,0,0,10.1016/j.foodchem.2020.128474,"plum, forest berries, spices, oak",1,0,1,1,0,1,0,0,0,0
Gaetano,Trebbiano,1998,, Italy,0,82,54,31,19.699,79,1.069,0,0,0,0,0,1.417,0,0,11.592,0.053,0.626,0.328,0,0,1.545,0,0,0,21,0,0.242,0,0.367,0,0,0,0,0,0,0,0,0,0,3.612,5.417,1.924,0,0,0,0,0,0,10.1021/jf9807317,"sweet citrus fruits and green apple, savory, dried herbs and white flowers",1,0,0,0,1,1,0,0,0,1
TINI Trebbiano,Trebbiano,1998,, Italy,0,49,57,18,17.51,104,1.666,0,0,0,0,0,1.131,0,0,11.62,0.07,1.041,0.222,0,0,1.56,0,0,0,22,0,0,0,0.541,0,0,0,0,0,0,0,0,0,0,4.242,7.775,1.809,0,0,0,0,0,0,10.1021/jf9807317,white peach and acacia flowers,0,0,0,0,0,1,0,0,0,1
Trebulanus,Trebbiano,1998,, Italy,0,37,51,17,12.365,123,1.883,0,0,0,0,0,1.259,0,0,9.847,0.039,0.817,0.269,0,0,2.217,0,0,0,20,0,0.585,0,0.341,0,0,0,0,0,0,0,0,0,0,3.608,4.528,1.067,0,0,0,0,0,0,10.1021/jf9807317,"fresh, lemon, peach, white flowers and minerals",0,0,0,0,1,0,0,0,0,1
Mario's 47,Trebbiano,1998,, Italy,0,102,61,35,16.865,43,2.856,0,0,0,0,0,1.135,0,0,1.289,0.024,0.352,0.134,0,0,1.189,0,0,0,17,0,0.173,0,0.214,0,0,0,0,0,0,0,0,0,0,2.716,4.539,1.596,0,0,0,0,0,0,10.1021/jf9807317,"beeswax, white flowers, apricots and smoked almonds",0,0,0,0,0,1,1,0,0,1
Mario's 46,Trebbiano,1998,, Italy,0,76,52,17,14.271,92,0.868,0,0,0,0,0,0.96,0,0,5.806,0.027,0.456,0.349,0,0,1.372,0,0,0,26,0,0.543,0,0.223,0,0,0,0,0,0,0,0,0,0,2.969,3.422,0.995,0,0,0,0,0,0,10.1021/jf9807317,"chamomile, toffee, fruit candy and yellow plum compote",0,0,0,0,0,1,0,0,0,1
Cataldi Madonna Trebbiano,Trebbiano,1998,, Italy,0,59,57,19,19.442,132,1.49,0,0,0,0,0,1.281,0,0,10.059,0.057,0.499,0.32,0,0,1.756,0,0,0,31,0,0.334,0,0.375,0,0,0,0,0,0,0,0,0,0,2.798,4.064,1.326,0,0,0,0,0,0,10.1021/jf9807317,"floral, citrus fruits, almonds, apples, kiwis and acacias",0,0,0,0,1,1,1,0,0,1
